trading_account_id,open_date,last_execution_date,close_date,symbol,trade_position,currency,underlying,asset_type,open_price,close_price,base_gross_pnl,base_net_pnl,total_quantity,total_buy_quantity,total_sell_quantity,remaining_quantity,total_executions,total_duration,total_commission,total_fees,stop_loss,profit_target,tags,notes
ŁukaszK,2023-05-31T10:48:35-0400,2023-05-31T10:55:34-0400,2023-05-31T10:55:34-0400,MESM23,short,USD,MES,future,4179.0,4182.75,-56.25,-60.87,6.0,3.0,3.0,0.0,2,419.0,4.62,0.0,4182.75,4170.0,MS (A),
ŁukaszK,2023-07-28T12:11:32-0400,2023-07-28T12:32:02-0400,2023-07-28T12:32:02-0400,ESU23,long,USD,ES,future,4609.5,4613.0,175.0,171.71,2.0,1.0,1.0,0.0,2,1230.0,3.29,0.0,N/A,N/A,ML (A),
ŁukaszK,2023-11-08T09:51:35-0500,2023-11-08T09:58:36-0500,2023-11-08T09:58:36-0500,MESZ23,long,USD,MES,future,4407.0,4403.0,-40.0,-40.0,4.0,2.0,2.0,0.0,4,421.0,0.0,0.0,4403.0,4416.0,ML (A),<br>
ŁukaszK,2023-06-05T14:31:09-0400,2023-06-05T14:53:19-0400,2023-06-05T14:53:19-0400,MESM23,short,USD,MES,future,4286.0,4279.5,97.5,92.88,6.0,3.0,3.0,0.0,4,1330.0,4.62,0.0,4290.5,4278.0,MS (A),
ŁukaszK,2023-12-05T10:19:53-0500,2023-12-05T10:25:53-0500,2023-12-05T10:25:53-0500,MESZ23,long,USD,MES,future,4572.5,4571.5,-20.0,-25.76,8.0,4.0,4.0,0.0,2,360.0,5.76,0.0,4568.5,4584.0,ML (A),
ŁukaszK,2023-11-13T10:09:00-0500,2023-11-13T11:33:07-0500,2023-11-13T11:33:07-0500,MESZ23,long,USD,MES,future,4411.75,4429.0,122.5,119.42,4.0,2.0,2.0,0.0,4,5047.0,3.08,0.0,4408.5,4429.0,MRL (A),
ŁukaszK,2023-11-16T10:05:37-0500,2023-11-16T10:15:19-0500,2023-11-16T10:15:19-0500,MESZ23,long,USD,MES,future,4522.75,4517.25,-75.0,-81.16,8.0,4.0,4.0,0.0,8,582.0,6.16,0.0,4517.25,4533.0,ML (A+),
ŁukaszK,2023-08-24T13:13:47-0400,2023-08-24T14:01:05-0400,2023-08-24T14:01:05-0400,MESU23,short,USD,MES,future,4413.0,4413.0,28.75,25.67,4.0,2.0,2.0,0.0,4,2838.0,3.08,0.0,4417.0,4400.0,MS (A+),<br>
ŁukaszK,2023-06-14T09:59:56-0400,2023-06-14T10:25:13-0400,2023-06-14T10:25:13-0400,MESU23,long,USD,MES,future,4424.0,4424.75,43.75,39.13,6.0,3.0,3.0,0.0,4,1517.0,4.62,0.0,4420.25,4432.0,ML (A),
ŁukaszK,2023-06-15T14:22:22-0400,2023-06-15T14:52:46-0400,2023-06-15T14:52:46-0400,MESU23,long,USD,MES,future,4462.75,4476.75,97.5,94.42,4.0,2.0,2.0,0.0,3,1824.0,3.08,0.0,4458.5,4480.0,"EarlyClose,ML (A)",
ŁukaszK,2023-06-02T10:51:18-0400,2023-06-02T11:34:31-0400,2023-06-02T11:34:31-0400,MESM23,long,USD,MES,future,4274.25,4283.75,125.0,120.38,6.0,3.0,3.0,0.0,4,2593.0,4.62,0.0,4270.5,4285.0,ML (A),
