date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,stop_loss,profit_target,tags,notes,spread_id
2023-04-04T10:58:00-0400,ESM23,sell,USD,ES,future,4141.0,1.0,2.29,0.0,4141.0,4153.0,MRL (A),,HoEj1H1P
2023-04-04T10:55:03-0400,ESM23,buy,USD,ES,future,4144.25,1.0,2.29,0.0,4141.0,4153.0,MRL (A),,HoEj1H1P
2023-08-02T10:23:56-0400,ESU23,sell,USD,ES,future,4555.25,1.0,2.29,0.0,4559.25,4542.0,MS (A),,hPB1v221
2023-08-02T10:55:17-0400,ESU23,buy,USD,ES,future,4542.0,1.0,2.29,0.0,4559.25,4542.0,MS (A),,hPB1v221
2023-04-10T11:02:07-0400,ESM23,buy,USD,ES,future,4110.25,1.0,2.29,0.0,N/A,N/A,"EarlyClose,Impulse (F)",,hsbct38K
2023-04-10T11:07:48-0400,ESM23,sell,USD,ES,future,4111.0,1.0,2.29,0.0,N/A,N/A,"EarlyClose,Impulse (F)",,hsbct38K
2023-04-10T14:10:01-0400,ESM23,sell,USD,ES,future,4125.75,1.0,2.29,0.0,4121.75,4130.0,"EarlyClose,ML (B)",,hv6HUrEq
2023-04-10T13:45:02-0400,ESM23,buy,USD,ES,future,4124.75,1.0,2.29,0.0,4121.75,4130.0,"EarlyClose,ML (B)",,hv6HUrEq
2023-10-26T10:50:06-0400,MESZ23,sell,USD,MES,future,4196.5,4.0,3.08,0.0,4179.5,4196.5,MRL (A),,HZ5KJf7k
2023-10-26T10:45:50-0400,MESZ23,sell,USD,MES,future,4188.0,4.0,3.08,0.0,4179.5,4196.5,MRL (A),,HZ5KJf7k
2023-10-26T10:42:44-0400,MESZ23,buy,USD,MES,future,4183.5,8.0,6.16,0.0,4179.5,4196.5,MRL (A),,HZ5KJf7k
2023-06-15T10:48:52-0400,MESU23,sell,USD,MES,future,4443.5,1.0,0.77,0.0,4434.75,4446.0,ML (A),,hzwkbiI5
2023-06-15T11:14:10-0400,MESU23,sell,USD,MES,future,4443.75,2.0,1.54,0.0,4434.75,4446.0,ML (A),,hzwkbiI5
2023-06-15T10:45:46-0400,MESU23,buy,USD,MES,future,4438.5,3.0,2.31,0.0,4434.75,4446.0,ML (A),,hzwkbiI5
2023-04-20T11:10:07-0400,ESM23,buy,USD,ES,future,4158.0,1.0,2.29,0.0,4152.75,4168.25,"ML (B),SLmistake",,i0XAzTg7
2023-04-20T11:11:01-0400,ESM23,sell,USD,ES,future,4157.0,1.0,2.29,0.0,4152.75,4168.25,"ML (B),SLmistake",,i0XAzTg7
2023-10-18T11:05:34-0400,MESZ23.FUT,sell,USD,MESZ23.FUT,stock,4369.75,8.0,6.16,0.0,4373.75,4361.0,MS (A),,iBrjO5X3
2023-10-18T11:25:01-0400,MESZ23.FUT,buy,USD,MESZ23.FUT,stock,4369.0,8.0,6.16,0.0,4373.75,4361.0,MS (A),,iBrjO5X3
2023-07-07T05:09:43-0400,MESU23,sell,USD,MES,future,4444.75,2.0,0.0,0.0,4437.0,4450.0,MRL (A),,If0bDvji
2023-07-07T04:40:02-0400,MESU23,buy,USD,MES,future,4439.75,3.0,0.0,0.0,4437.0,4450.0,MRL (A),,If0bDvji
2023-07-07T06:03:37-0400,MESU23,sell,USD,MES,future,4441.25,1.0,0.0,0.0,4437.0,4450.0,MRL (A),,If0bDvji
2023-06-30T10:10:03-0400,MESU23,sell,USD,MES,future,4483.0,2.0,1.54,0.0,4464.0,4487.0,"ML (A+),OpenTrade",,Ii7eQaeO
